region,ip,prefixlength,org
ripencc,2.56.204.0,22,n/a
ripencc,5.39.204.0,22,am.cba;Central Bank of the Republic of Armenia
ripencc,5.63.160.0,21,am.gnc;GNC-Alfa CJSC
ripencc,5.77.128.0,17,n/a
ripencc,5.101.36.0,22,n/a
ripencc,5.101.71.0,24,n/a
ripencc,5.134.80.0,21,n/a
ripencc,31.7.160.0,21,am.k-telecom;MTS Armenia CJSC
ripencc,31.47.192.0,21,am.gnc;GNC-Alfa CJSC
ripencc,37.26.168.0,21,n/a
ripencc,37.157.208.0,20,n/a
ripencc,37.186.64.0,18,am.gnc;GNC-Alfa CJSC
ripencc,37.252.64.0,19,n/a
ripencc,37.252.216.0,22,n/a
ripencc,45.11.136.0,22,n/a
ripencc,45.15.148.0,22,am.deltatelecom;Deltatelecom LLC
ripencc,45.131.124.0,22,n/a
ripencc,45.133.104.0,22,n/a
ripencc,45.143.204.0,22,am.utc;UTC LLC
ripencc,45.153.212.0,22,am.arpinet3;Arpinet LLC
ripencc,45.159.72.0,22,n/a
ripencc,46.19.96.0,21,am.gnc;GNC-Alfa CJSC
ripencc,46.36.112.0,24,n/a
ripencc,46.36.113.0,24,n/a
ripencc,46.36.114.0,23,n/a
ripencc,46.36.116.0,23,n/a
ripencc,46.36.118.0,23,n/a
ripencc,46.36.120.0,21,n/a
ripencc,46.70.0.0,15,am.armentel;Telecom Armenia CJSC
ripencc,46.130.0.0,16,am.k-telecom;MTS Armenia CJSC
ripencc,46.162.192.0,18,n/a
ripencc,46.182.172.0,22,n/a
ripencc,46.241.128.0,17,n/a
ripencc,62.3.16.0,24,"am.synergy;Armenian Branch of ""Synergy International Systems"" Joint-Stock Company Separated Subdivision"
ripencc,62.89.0.0,19,am.gnc;GNC-Alfa CJSC
ripencc,77.95.184.0,21,am.k-telecom;MTS Armenia CJSC
ripencc,78.109.64.0,20,am.gnc;GNC-Alfa CJSC
ripencc,79.170.200.0,21,n/a
ripencc,80.86.224.0,20,am.netsys;Netsys JV LLC
ripencc,81.16.0.0,20,n/a
ripencc,81.89.208.0,20,n/a
ripencc,82.199.192.0,20,n/a
ripencc,83.139.0.0,18,am.k-telecom;MTS Armenia CJSC
ripencc,87.241.128.0,18,am.armentel;Telecom Armenia CJSC
ripencc,89.40.171.0,24,n/a
ripencc,89.249.192.0,20,am.ipnet;IPNET LLC
ripencc,91.103.24.0,21,am.k-telecom;MTS Armenia CJSC
ripencc,91.103.56.0,21,am.k-telecom;MTS Armenia CJSC
ripencc,91.103.248.0,22,am.ispsupport;ISP SUPPORT LLC
ripencc,91.195.254.0,23,n/a
ripencc,91.198.108.0,23,n/a
ripencc,91.201.196.0,24,"am.digitain;""DIGITAIN"" LLC"
ripencc,91.205.196.0,22,n/a
ripencc,91.231.200.0,22,n/a
ripencc,91.237.150.0,24,n/a
ripencc,92.43.136.0,21,n/a
ripencc,93.94.216.0,21,am.k-telecom;MTS Armenia CJSC
ripencc,93.113.129.0,24,n/a
ripencc,93.185.32.0,20,am.gnc;GNC-Alfa CJSC
ripencc,93.187.160.0,21,n/a
ripencc,94.228.16.0,20,n/a
ripencc,95.140.192.0,20,am.k-telecom;MTS Armenia CJSC
ripencc,109.68.120.0,21,n/a
ripencc,109.75.32.0,20,n/a
ripencc,130.193.120.0,21,am.gnc;GNC-Alfa CJSC
ripencc,141.136.64.0,19,n/a
ripencc,176.32.192.0,21,n/a
ripencc,178.72.128.0,18,n/a
ripencc,178.78.128.0,18,n/a
ripencc,178.160.192.0,18,am.armentel;Telecom Armenia CJSC
ripencc,178.219.48.0,20,n/a
ripencc,185.3.188.0,22,n/a
ripencc,185.8.0.0,22,am.gnc;GNC-Alfa CJSC
ripencc,185.13.196.0,22,n/a
ripencc,185.18.72.0,22,n/a
ripencc,185.21.252.0,22,am.ipnet;IPNET LLC
ripencc,185.36.36.0,22,am.k-telecom;MTS Armenia CJSC
ripencc,185.44.228.0,23,am.netsys;Netsys JV LLC
ripencc,185.44.230.0,23,n/a
ripencc,185.48.240.0,22,n/a
ripencc,185.57.68.0,22,n/a
ripencc,185.59.68.0,22,n/a
ripencc,185.77.192.0,22,n/a
ripencc,185.78.144.0,22,am.k-telecom;MTS Armenia CJSC
ripencc,185.79.0.0,22,am.k-telecom;MTS Armenia CJSC
ripencc,185.84.67.0,24,n/a
ripencc,185.86.192.0,22,n/a
ripencc,185.92.84.0,22,n/a
ripencc,185.121.236.0,22,"am.abc-domain;""ABC Domain"" LLC"
ripencc,185.127.64.0,22,n/a
ripencc,185.149.140.0,22,"am.eif;""Enterprise Incubator"" Foundation"
ripencc,185.150.164.0,22,n/a
ripencc,185.155.232.0,22,am.agium;Agium LLC
ripencc,185.162.228.0,22,n/a
ripencc,185.167.217.0,24,am.vnet;Virus Net LLC
ripencc,185.177.104.0,22,n/a
ripencc,185.182.120.0,22,n/a
ripencc,185.193.12.0,22,n/a
ripencc,185.202.113.0,24,am.bitcommand;BitCommand LLC
ripencc,185.215.52.0,22,am.nornorq;Fnet LLC
ripencc,185.223.124.0,22,am.interlink;Interlink LLC
ripencc,185.247.0.0,22,n/a
ripencc,185.255.68.0,22,am.regika;Sajad Charipour
ripencc,188.115.192.0,18,n/a
ripencc,188.164.152.0,21,"am.abc-domain;""ABC Domain"" LLC"
ripencc,193.57.28.0,22,am.idbank;ID Bank CJSC
ripencc,194.1.152.0,24,n/a
ripencc,194.30.176.0,23,n/a
ripencc,194.31.4.0,23,n/a
ripencc,194.39.82.0,23,am.tinsllc;TINS LLC
ripencc,194.39.102.0,23,am.tinsllc;TINS LLC
ripencc,194.61.88.0,22,n/a
ripencc,195.28.188.0,24,am.lirllc;LIR LLC
ripencc,195.225.234.0,23,n/a
ripencc,195.248.240.0,22,am.bitcommand;BitCommand LLC
ripencc,195.250.64.0,19,am.gnc;GNC-Alfa CJSC
ripencc,212.34.224.0,19,n/a
ripencc,212.42.192.0,19,am.ipnet;IPNET LLC
ripencc,212.73.64.0,19,am.armentel;Telecom Armenia CJSC
ripencc,213.109.197.0,24,am.ispsupport;ISP SUPPORT LLC
ripencc,217.76.0.0,20,am.k-telecom;MTS Armenia CJSC
ripencc,217.113.0.0,21,n/a
ripencc,217.113.8.0,21,n/a
ripencc,217.113.16.0,20,n/a
