region,version,ip,prefixlength
ripencc,ipv4,91.142.139.0,24
ripencc,ipv4,91.194.242.0,23
ripencc,ipv4,91.198.216.0,24
ripencc,ipv4,91.199.77.0,24
ripencc,ipv4,91.199.79.0,24
ripencc,ipv4,91.207.22.0,23
ripencc,ipv4,91.209.32.0,24
ripencc,ipv4,91.209.136.0,24
ripencc,ipv4,91.209.216.0,24
ripencc,ipv4,91.212.31.0,24
ripencc,ipv4,91.212.44.0,24
ripencc,ipv4,91.212.247.0,24
ripencc,ipv4,91.213.84.0,24
ripencc,ipv4,91.214.104.0,22
ripencc,ipv4,91.223.24.0,24
ripencc,ipv4,91.223.29.0,24
ripencc,ipv4,91.223.65.0,24
ripencc,ipv4,91.223.237.0,24
ripencc,ipv4,91.223.249.0,24
ripencc,ipv4,91.226.8.0,23
ripencc,ipv4,91.226.170.0,24
ripencc,ipv4,91.226.244.0,24
ripencc,ipv4,91.233.36.0,23
ripencc,ipv4,91.236.37.0,24
ripencc,ipv4,91.241.53.0,24
ripencc,ipv4,176.123.57.0,24
ripencc,ipv4,185.1.87.0,24
ripencc,ipv4,192.40.70.0,23
ripencc,ipv4,192.84.91.0,24
ripencc,ipv4,192.84.92.0,24
ripencc,ipv4,192.84.105.0,24
ripencc,ipv4,192.84.106.0,24
ripencc,ipv4,193.19.220.0,22
ripencc,ipv4,193.22.31.0,24
ripencc,ipv4,193.23.182.0,24
ripencc,ipv4,193.25.220.0,24
ripencc,ipv4,193.47.246.0,24
ripencc,ipv4,193.58.252.0,24
ripencc,ipv4,193.105.23.0,24
ripencc,ipv4,193.105.193.0,24
ripencc,ipv4,193.111.164.0,24
ripencc,ipv4,193.200.203.0,24
ripencc,ipv4,193.242.141.0,24
ripencc,ipv4,194.0.84.0,22
ripencc,ipv4,194.0.224.0,24
ripencc,ipv4,194.1.255.0,24
ripencc,ipv4,194.5.87.0,24
ripencc,ipv4,194.24.231.0,24
ripencc,ipv4,194.126.213.0,24
ripencc,ipv4,194.126.214.0,24
ripencc,ipv4,194.146.109.0,24
ripencc,ipv4,195.20.153.0,24
ripencc,ipv4,195.54.190.0,23
ripencc,ipv4,195.78.32.0,23
ripencc,ipv4,195.78.34.0,23
ripencc,ipv4,195.88.46.0,23
ripencc,ipv4,195.182.46.0,24
ripencc,ipv4,195.190.10.0,24
ripencc,ipv4,195.190.136.0,24
ripencc,ipv4,195.234.22.0,23
ripencc,ipv4,195.245.255.0,24
ripencc,ipv4,213.5.56.0,21
ripencc,ipv6,2001:7f8:28::,48
ripencc,ipv6,2001:678:9a0::,48
ripencc,ipv6,2001:678:f1c::,48
ripencc,ipv6,2001:67c:3f4::,48
ripencc,ipv6,2001:67c:1340::,48
ripencc,ipv6,2001:67c:16e4::,48
ripencc,ipv6,2001:67c:2f24::,48
